time,total_slot_ms
0,37260656
1,3717242
2,10955037
3,1720066
4,2634156
5,0
6,10717830
7,145017
8,99969
9,3559448
10,0
11,0
12,22703181
13,13053133
14,10617297
15,714572
16,1662662
17,0
18,10269536
19,38071
20,267316
21,3225302
22,0
23,1763460
24,56941969
25,11786478
26,9476806
27,1334934
28,204826
29,2799436
30,10288782
31,1207937
32,0
33,2892260
34,12292408
35,773588
36,29241863
37,18426872
38,11991052
39,645778
40,1692774
41,714437
42,7242466
43,103708
44,1169136
45,3288668
46,113986
47,146028
48,10884085
49,51661970
50,12142807
51,492846
52,3490473
53,7064407
54,5250979
55,6073142
56,305175
57,0
58,627062
59,2727472
60,18188625
61,46033443
62,4200709
63,10488932
64,1777886
65,1127782
66,278385
67,128228
68,8614529
69,11882631
70,2381017
71,818709
72,40598868
73,27367250
74,15668358
75,2823326
76,736630
77,9546396
78,1617524
79,4950977
80,915631
81,1442549
82,339370
83,2913120
84,1980018
85,4523701
86,4093995
87,14308106
88,8821672
89,7085808
90,51387371
91,3546910
92,865478
93,8150532
94,343270
95,5281745
96,5256914
97,267787035
98,89110670
99,30640554
100,10071819
101,7935057
102,137281888
103,3360666
104,4540667
105,5436664
106,2851155
107,2886454
108,44525145
109,16063144
110,33763223
111,6413081
112,6171231
113,7619936
114,5499523
115,6654866
116,15990345
117,13518861
118,4326782
119,2554355
120,6755010
121,38232176
122,1907834
123,17225871
124,4912023
125,1133503
126,8346412
127,14939771
128,5128885
129,0
130,2407948
131,0
132,48390101
133,16314644
134,9487832
135,28190083
136,40593392
137,96337078
138,52997821
139,35829749
140,27293691
141,14737168
142,3515922
143,11819698
144,544370745
145,495074866
146,68504131
147,68775479
148,2989687
149,0
150,4139626
151,0
152,0
153,2156516
154,0
155,0
156,33548811
157,5005411
158,17886395
159,1802320
160,0
161,0
162,7351025
163,556472
164,734480
165,2746214
166,0
167,0
168,61495121
169,18530852
170,12501970
171,3013952
172,4442458
173,0
174,6645168
175,0
176,0
177,3408934
178,0
179,0
180,59628879
181,46174852
182,21462514
183,1668625
184,78339
185,729
186,11759020
187,13446588
188,998877
189,3723530
190,0
191,0
192,74123785
193,42988324
194,24482799
195,2046245
196,3788871
197,0
198,13693780
199,0
200,0
201,3706576
202,0
203,0
204,35006390
205,21921100
206,6995637
207,3669597
208,556584
209,0
210,10158076
211,158610
212,0
213,2936148
214,0
215,0
216,43148445
217,14808945
218,5385189
219,1799767
220,336966
221,2822958
222,24541545
223,0
224,0
225,4039802
226,0
227,0
228,76538380
229,10777002
230,8190046
231,0
232,1962796
233,0
234,12958051
235,0
236,0
237,3877728
238,0
239,0
240,46480838
241,5105514
242,6734252
243,1947666
244,2542062
245,0
