time,total_slot_ms
0,1921952
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1832869
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1662236
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,913724
36,4568327
37,331416
38,11130
39,0
40,0
41,16673
42,0
43,0
44,162351
45,0
46,0
47,0
48,1323613
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1681869
61,9227
62,641
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,2799
72,2021131
73,3152
74,1734
75,2093
76,7908
77,10616
78,8801
79,8940
80,1617
81,6968
82,2391
83,38026
84,1805273
85,3036
86,34839
87,2544
88,4658
89,3250
90,1744883
91,812878
92,12513
93,17159
94,10534
95,181647
96,2063983
97,201543
98,175565
99,200827
100,138010
101,206669
102,1514341
103,995600
104,172700
105,147301
106,185311
107,288107
108,2368058
109,182961
110,186142
111,118530
112,48463
113,68130
114,1766925
115,919477
116,50305
117,958
118,1174
119,3863
120,1472432
121,24041
122,3020
123,9283
124,7983
125,19535
126,1275412
127,707946
128,48350
129,285
130,7175
131,36533
132,1578847
133,949992
134,17571
135,9419
136,12370
137,15327
138,1238212
139,650704
140,25288
141,1233
142,2598
143,11526
144,2362591
145,9627
146,179628
147,2938
148,60473
149,88283
150,6945540
151,420699
152,71535
153,6468
154,1033
155,21027
156,3137470
157,23267
158,1167
159,4259
160,154609
161,29448
162,1490708
163,774505
164,14719
165,3328
166,1730
167,109764
168,2599771
169,6610
170,1169
171,5724
172,1056
173,1887
174,1106540
175,610939
176,24851
177,1143
178,122514
179,2024
180,1852613
181,22577
182,764
183,10929
184,10154
185,1055
186,1162309
187,910369
188,52370
189,6038
190,9616
191,2131
192,1374539
193,3559
194,1142
195,8982
196,1685
197,576
198,1288051
199,472839
200,31908
201,1217
202,1108
203,7526
204,1781912
205,6491
206,1034
207,8249
208,1318
209,1163
210,1443184
211,360048
212,3119
213,1340
214,1100
215,25184
216,1274678
217,5229
218,489
219,8898
220,883
221,1698
222,1118721
223,657684
224,9013
225,689
226,2158
227,3793
228,1516215
229,25019
230,616
231,4436
232,2025
233,1549
234,4374
235,742
236,6971
237,835
238,3822
239,2384
240,1092099
241,12757
242,836
243,9048
244,1632
245,832
246,3045
247,348
248,3673
249,588
250,6448
251,1836
252,1362099
253,13043
254,377
255,3535
256,801
257,1289
258,1953
259,943
260,1321
261,8411
262,782
263,715
264,1311768
265,9408
266,0
267,7083
268,491
269,446
270,0
271,0
272,292
273,0
274,405
275,0
276,1283869
277,484
278,0
279,477
280,0
281,0
282,642
283,0
284,376
285,0
286,461
287,0
288,1303276
289,448
290,0
291,383
292,0
293,0
294,5950
295,0
296,422
297,0
298,4229
299,0
300,1259885
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,1300632
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,676804
324,3588656
325,413946
326,0
327,0
328,0
329,15406
330,0
331,0
332,169933
333,0
334,0
335,0
336,1393866
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,1658111
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,3065
360,1762629
361,2190
362,1848
363,5995
364,2022
365,2718
366,7044
367,12116
368,6115
369,4770
370,8400
371,63853
372,2276537
373,4346
374,11290
375,2550
376,22924
377,1925
378,1126104
379,607521
380,4152
381,4208
382,2489
383,124511
384,1443607
385,50060
386,85036
387,33474
388,48747
389,70185
390,1933180
391,207276
392,35866
393,68669
394,26619
395,164802
396,1477001
397,52357
398,71521
399,30347
400,48861
401,57557
402,1087560
403,797221
404,110804
405,7880
406,1044
407,19328
408,1645069
409,24576
410,8789
411,19228
412,601
413,8047
414,1008930
415,795533
416,57934
417,3205
418,5848
419,51182
420,2037944
421,9608
422,413
423,10713
424,0
425,7730
426,1194268
427,585094
428,3882
429,385
430,1256
431,17586
432,1156950
433,821853
434,456
435,10167
436,12755
437,2224
438,1016640
439,610883
440,35374
441,387
442,9304
443,4862
444,1820363
445,3198
446,11199
447,12399
448,1809
449,2772
450,1604824
451,404631
452,10231
453,936
454,7584
455,12871
456,1464202
457,10727
458,1449
459,7586
460,2718
461,7942
462,988826
463,582331
464,7232
465,387
466,6193
467,1739
468,1602942
469,2632
470,507
471,8343
472,896
473,3128
474,1212256
475,546393
476,2773
477,2225
478,5961
479,1288
480,1442905
481,4532
482,761
483,3572
484,294
485,3631
486,813205
487,396996
488,24316
489,1501
490,5765
491,4459
492,1872731
493,152953
494,1452
495,17491
496,846
497,2604
498,1077117
499,659055
500,17695
501,5113
502,6821
503,203028
504,1473372
505,2190
506,116625
507,41098
508,1914
509,6161
510,1285750
511,440509
512,3158
513,2200
514,107002
515,2689
516,1127290
517,88134
518,7648
519,2305
520,2310
521,3172
522,1223
523,2767
524,2016
525,6688
526,109742
527,3051
528,940638
529,166828
530,1609
531,5140
532,821
533,1003
534,410
535,1014
536,0
537,1126
538,299
539,1310
540,2023732
541,19839
542,6744
543,0
544,832
545,11189
546,1371
547,836
548,0
549,676
550,0
551,632
552,1904495
553,1020
554,563
555,0
556,555
557,0
558,1574
559,0
560,517
561,0
562,0
563,686
564,1612554
565,7304
566,0
567,0
568,6138
569,0
570,7044
571,0
572,564
573,0
574,0
575,476
576,1734619
577,925
578,0
579,9095
580,0
581,0
582,5068
583,0
584,470
585,0
586,0
587,660
588,1324822
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,1511363
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,1116298
612,3986635
613,617954
614,0
615,0
616,0
617,21191
618,0
619,0
620,203452
621,0
622,0
623,0
624,1937232
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,1334021
637,16531
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,12463
648,2474946
649,2157
650,10366
651,2804
652,2106
653,33900
654,0
655,0
656,0
657,0
658,0
659,4267
660,3338749
661,730
662,14376
663,0
664,1203
665,521
666,1434780
667,740203
668,12824
669,10930
670,2826
671,185178
672,2155300
673,118649
674,250915
675,127688
676,96993
677,147934
678,1859721
679,448087
680,195467
681,151370
682,135014
683,226865
684,1937785
685,256969
686,341992
687,1218192
688,13850182
689,306688
690,6621017
691,402633
692,95843
693,16637
694,147314
695,18927
696,2494859
697,143714
698,26479
699,230863
700,0
701,214356
702,1745286
703,630165
704,157124
705,242393
706,131755
707,33924
708,6754323
709,1389
710,112728
711,4409986
712,0
713,80286
714,1361426
715,791520
716,287332
717,142527
718,0
719,10741
720,2125779
721,11372
722,135714
723,118052
724,1740265
725,2711076
726,2192481
727,710927
728,298141
729,199211
730,4913387
731,8395498
732,2525158
733,1779
734,28259
735,15154
736,0
737,12952
738,1731779
739,1234293
740,40533
741,0
742,74653
743,5616344
744,5333833
745,744850
746,0
747,6336764
748,3083316
749,0
750,1538093
751,809995
752,37616
753,9082530
754,5739261
755,25599704
756,3133269
757,2049
758,5351129
759,24360
760,1335
761,616420
762,2873749
763,796418
764,3863267
765,2514493
766,3513712
767,3585361
768,2975539
769,5239
770,2512467
771,981
772,152494
773,1151
774,1781805
775,3518128
776,39873
777,0
778,4110467
779,1905431
780,3140610
781,440279
782,2439474
783,4905431
784,98717
785,3366334
786,4482631
787,1141997
788,189905
789,694224
790,738215
791,6362955
792,2315965
793,1456
794,0
795,19162
796,8632
797,0
798,1448061
799,797434
800,10669
801,0
802,0
803,1783119
804,2232577
805,1274
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,2130687
817,879
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,2035183
829,8108
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,6080262
841,10408
842,108726
843,0
844,0
845,0
846,0
847,0
848,38823
849,628
850,0
851,0
852,2119997
853,0
854,0
855,0
856,0
857,208361
858,394679
859,420498
860,87199
861,948
862,1916
863,718
864,2916463
865,66562
866,65223
867,106128
868,919460
869,3433465
870,4145029
871,5742717
872,8503522
873,3531950
874,3797462
875,6127746
876,6412962
877,3217658
878,1977431
879,266415
880,250222
881,3745368
882,3165485
883,3967080
884,326638
885,76225
886,0
887,3708541
888,2597679
889,38255
890,150835
891,71161
892,69645
893,5975683
894,5118336
895,5305621
896,5511477
897,5033853
898,4905577
899,6504971
900,9372317
901,6726776
902,5081670
903,5242247
904,5216439
905,5272267
906,5391074
907,5216628
908,5015273
909,5064120
910,4982691
911,4403939
912,7226252
913,5297423
914,5251646
915,5270133
916,5090408
917,4847561
918,5097214
919,5518228
920,5352166
921,5807537
922,5557409
923,5388951
924,8116984
925,4941355
926,4987694
927,5352523
928,5087520
929,5243726
930,5394586
931,5234482
932,5068272
933,4648528
934,4090567
935,4771552
936,7917411
937,4643085
938,4305783
939,4321572
940,4509551
941,4091999
942,3779403
943,3734493
944,3210216
945,2544454
946,2329550
947,2938502
948,7359564
949,2207593
950,1932426
951,1753344
952,1613923
953,1645471
954,3211203
955,3221606
956,1736252
957,1749474
958,1762883
959,2048351
960,4076370
961,798593
962,775331
963,778739
964,668409
965,129601
966,1799241
967,1187461
968,91751
969,112173
970,67811
971,114497
972,3230385
973,181447
974,373104
975,255026
976,2002158
977,75154
978,2173071
979,531645
980,23642
981,603
982,546399
983,3649229
984,8184759
985,7609697
986,22016337
987,18360116
988,847
989,176902
990,4192929
991,1197700
992,174773
993,28202
994,22564
995,83259
996,2663836
997,111450
998,52248
999,10703225
1000,8570892
1001,313029
1002,3359091
1003,1754544
1004,837325
1005,399542
1006,632
1007,18481
1008,3854510
1009,79692
1010,114777
1011,62777
1012,123555
1013,4588468
1014,2088232
1015,1539055
1016,71373
1017,0
1018,52182
1019,66123
1020,9656292
1021,1838460
1022,1379708
1023,45783
1024,1214
1025,19551
1026,2097386
1027,2644722
1028,27717
1029,0
1030,27779
1031,3192751
1032,5199630
1033,26989
1034,25588
1035,3389
1036,0
1037,1044434
1038,997869
1039,1777
1040,2221526
1041,630281
1042,371049
1043,390523
1044,3179136
1045,165184
1046,26689
1047,0
1048,0
1049,1252097
1050,1292095
1051,538561
1052,132845
1053,0
1054,0
1055,1434
1056,3210313
1057,316981
1058,31575
1059,481032
1060,1690483
1061,3254490
1062,2500548
1063,4418457
1064,0
1065,0
1066,167
1067,6363025
1068,5577130
1069,5106137
1070,119654
1071,2736266
1072,0
1073,1814588
1074,7570024
1075,1390977
1076,4431715
1077,34585
1078,558201
1079,1066948
1080,3702892
1081,675512
1082,1697892
1083,1569566
1084,1116735
1085,23567
1086,2231875
1087,1871331
1088,43501
1089,0
1090,115362
1091,563135
1092,4213158
1093,582
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,2327280
1105,73408
1106,0
1107,105863
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,2708224
1117,9462
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,2643700
1129,324244
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,3282052
1141,630282
1142,0
1143,0
1144,0
1145,86239
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,4440647
1153,1316
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,2619934
1165,1379
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,2819246
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,2780438
1188,5735616
1189,1580999
1190,0
1191,0
1192,0
1193,24670
1194,0
1195,0
1196,154558
1197,0
1198,0
1199,0
1200,1531433
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,1762307
1213,223124
1214,5195
1215,657
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,11613
1224,2076359
1225,35243
1226,10956
1227,4566
1228,3064
1229,10903
1230,2614
1231,2096
1232,9528
1233,2646
1234,2687
1235,11019
1236,2724283
1237,107771
1238,3460
1239,40608
1240,11281
1241,3071
1242,3566493
1243,1803406
1244,3704
1245,4029
1246,3153
1247,83117
1248,2169343
1249,191195
1250,89078
1251,221786
1252,89478
1253,167687
1254,2473825
1255,2883616
1256,185585
1257,143862
1258,175641
1259,444002
1260,2183820
1261,345726
1262,1881258
1263,1324148
1264,195697
1265,2156669
1266,3013046
1267,1971770
1268,131964
1269,0
1270,220776
1271,1117738
1272,2395972
1273,2189
1274,81054
1275,4935125
1276,129021
1277,12524
1278,2461404
1279,2778951
1280,233961
1281,1918127
1282,155036
1283,422186
1284,3276774
1285,9334
1286,1194
1287,0
1288,0
1289,1931
1290,2274942
1291,1983664
1292,4033394
1293,5494503
1294,156885
1295,411720
1296,2318281
1297,1098
1298,0
1299,0
1300,0
1301,0
1302,2476213
1303,2086686
1304,62735
1305,0
1306,0
1307,70487
1308,3085316
1309,23785
1310,0
1311,0
1312,0
1313,1888
1314,2906067
1315,2275035
1316,68178
1317,0
1318,0
1319,0
1320,2419232
1321,0
1322,846
1323,0
1324,2178
1325,651
1326,2826459
1327,2286685
1328,114508
1329,3114407
1330,5128
1331,0
1332,2912858
1333,7823
1334,57881
1335,0
1336,118991
1337,484577
1338,3168136
1339,2727516
1340,248338
1341,0
1342,0
1343,0
1344,2083987
1345,1392
1346,83736
1347,0
1348,0
1349,681
1350,3878265
1351,2277076
1352,48681
1353,0
1354,1705407
1355,12217
1356,3430725
1357,173625
1358,2525
1359,0
1360,0
1361,0
1362,3949808
1363,2573497
1364,139180
1365,0
1366,0
1367,0
1368,3990696
1369,2631
1370,0
1371,0
1372,0
1373,3622
1374,3849784
1375,3083589
1376,38808
1377,0
1378,0
1379,0
1380,2775852
1381,2251
1382,6379
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,2646442
1393,1109695
1394,0
1395,0
1396,0
1397,0
1398,0
1399,559
