time,total_slot_ms
0,1183025
1,903794
2,395408
3,0
4,3177
5,6316
6,1182136
7,2400071
8,9355237
9,906862
10,546509
11,6270
12,0
13,4175304
14,972371
15,0
16,55220
17,0
18,0
19,54166
20,66740
21,0
22,4489
23,3038
24,2023465
25,0
26,0
27,0
28,3673909
29,0
30,234225
31,46055
32,420918
33,0
34,0
35,0
36,2214
37,2866
38,2021
39,1132922
40,8647118
41,277375
42,1033538
43,1664360
44,6587697
45,1397165
46,11410563
47,4767672
48,11716227
49,416411
50,2970
51,1377
52,0
53,0
54,22
55,5918330
56,0
57,376040
58,0
59,392627
60,0
61,0
62,0
63,850
64,3677
65,1916
66,86609
67,0
68,27072
69,21309
70,0
71,0
72,0
73,47555
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,8204
83,0
84,365978
85,0
86,0
87,0
88,0
89,0
90,398380
91,0
92,0
93,3291
94,0
95,0
96,46456
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,236940
108,39643
109,223055
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,4214092
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,5884378
130,176103
131,9783889
132,3331564
133,4804479
134,40235321
135,45001566
136,8575654
137,173140
138,25895964
139,1221144
140,904191
141,85550
142,7333032
143,638256
144,23270394
145,18167737
146,42528097
147,26033979
148,11427792
149,5895596
150,33544739
151,2138769
152,24780959
153,36475111
154,26382406
155,18959475
156,23886819
157,18494956
158,39449986
159,40685996
160,30141547
161,15666201
162,29252165
163,31222008
164,13684319
165,20000107
166,5619920
167,14594944
168,26947283
169,26237015
170,12239526
171,14104150
172,3061737
173,5135702
174,13286526
175,29602257
176,12620468
177,18903454
178,60167727
179,15944914
180,31673635
181,28212234
182,19334435
183,5477955
184,14463528
185,7450567
186,15229608
187,10852288
188,25819964
189,16451017
190,48400480
191,4463105
192,17504317
193,1855640
194,12691304
195,23976006
196,4820240
197,8848278
198,14932703
199,2008315
200,13145738
201,31172099
202,3443824
203,1828915
204,15776535
205,6094411
206,9693243
207,11394624
208,1135351
209,12940582
210,4474481
211,23388168
212,54204531
213,63967607
214,54606184
215,7407215
216,32925046
217,5137487
218,2080581
219,22955369
220,39979894
221,6606923
222,18339383
223,12067639
224,6108459
225,9342921
226,34840460
227,23882961
228,15525163
229,73634693
230,84167484
231,82174766
232,81518907
233,56773190
234,61832781
235,61736256
236,56166847
237,50187134
238,33179714
239,11600172
240,15219926
241,8843881
242,11037203
243,22352675
244,22497811
245,2350544
246,6809651
247,18542296
248,7316875
249,26675455
250,7875947
251,10275879
252,2712345
253,5826896
254,5078458
255,10790839
256,3442260
257,823099
258,2818726
259,730745
260,2890353
261,5969384
262,4299088
263,2545705
264,2951396
265,17007165
266,19879634
267,14693943
268,315539
269,228874
270,401402
271,609707
272,6044964
273,1708013
274,1705853
275,3603624
276,32883845
277,30917007
278,30814761
279,30338516
280,28948744
281,33356752
282,32519111
283,22068902
284,31248714
285,32753310
286,31309599
287,32389571
288,32680791
289,31950437
290,27837380
291,31982737
292,30610882
293,29288869
294,15058599
295,29945630
296,32282756
297,25139801
298,29680781
299,33366326
300,30493781
301,33515284
302,33431590
303,33524973
304,30409915
305,30565574
306,31204292
307,33176609
308,33161504
309,31442813
310,27835234
311,33086044
312,32067587
313,33242232
314,32306687
315,30521292
316,31748083
317,33475756
318,32491969
319,33153716
320,32708914
321,31934577
322,29840350
323,18673877
324,17314869
325,26409432
326,5628501
327,2941809
328,1645996
329,514713
330,507462
331,1252287
332,919360
333,872296
334,875544
335,880364
336,912681
337,1024615
338,1210312
339,5504571
340,1311192
341,18408989
342,4784814
343,1224175
344,4518248
345,1213579
346,1208835
347,1221752
348,1215114
349,1225929
350,1309965
351,1668839
352,1247703
353,1215978
354,1214423
355,1221841
356,580772
357,0
358,0
359,0
360,0
361,33190
362,0
363,133
364,10061
365,0
366,12
367,121
368,0
369,0
370,0
371,0
372,0
373,453559
374,0
375,0
376,9919
377,0
378,0
379,0
380,0
381,3597
382,0
383,587986
384,0
385,42126
386,0
387,0
388,13690
389,0
390,0
391,0
392,0
393,0
394,0
395,284975
396,81522
397,0
398,0
399,0
400,13355
401,0
402,0
403,13253300
404,33585885
405,33601704
406,33600180
407,33599056
408,33251473
409,33600110
410,33347439
411,29202235
412,24966373
413,22711990
414,23081361
415,28064575
416,18393258
417,32073218
418,25765015
419,29375973
420,24755843
421,56718472
422,30616284
423,24334058
424,44132407
425,14693868
426,22445132
427,26160427
428,30296023
429,31079993
430,48710379
431,1710839
432,25872982
433,6965199
434,26834707
435,6226198
436,10167439
437,10277056
438,51431187
439,13524956
440,10672716
441,63351233
442,37394219
443,10070430
444,36687238
445,40113989
446,15793495
447,21716818
448,60433642
449,65210129
450,65668783
451,39217650
452,14991400
453,63890174
454,43281548
455,6364622
456,9125298
457,40421193
458,42011130
459,33057962
460,34940525
461,969906
462,47421971
463,6878637
464,17304952
465,9815733
466,6426527
467,22495885
468,10396964
469,4708703
470,9974667
471,6054380
472,3821451
473,14264344
474,4171695
475,2177562
476,6082675
477,1370933
478,521779
479,5120584
480,9114242
481,960948
482,10307017
483,15349189
484,46412536
485,1454545
486,1719362
487,11490511
488,5192327
489,9307069
490,41513319
491,11554069
492,6795955
493,15018522
494,15153559
495,10593303
496,8971039
497,25553524
498,22885457
499,27862395
500,50456829
501,9541450
502,24240757
503,35547583
504,26292705
505,6326849
506,6932132
507,9104235
508,10667974
509,22836357
510,5802085
511,31325940
512,9586671
513,6033156
514,15685955
515,9821509
516,10849521
517,21005785
518,14235635
519,7357139
520,2410854
521,12940507
522,3226390
523,11693652
524,23123586
